,$,private,public,rpar,lpar,dot,float,integer,semi,return,write,read,while,else,then,if,rcurbr,lcurbr,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,isa,and,div,mult,colon,id,attribute,constructorkeyword,function,localvar,rsqbr,lsqbr,arrow,sr,not,floatnum,class,assign,intnum,or,eof
STATBLOCK,,,,,,,,,STATBLOCK ? &epsilon,STATBLOCK ? STATEMENT,STATBLOCK ? STATEMENT,STATBLOCK ? STATEMENT,STATBLOCK ? STATEMENT,STATBLOCK ? &epsilon,,STATBLOCK ? STATEMENT,,STATBLOCK ? lcurbr REPTSTATBLOCK1 rcurbr,,,,,,,,,,,,,,,,STATBLOCK ? STATEMENT,,,,,,,,,,,,,,,
STATEMENTBLOCK,,,,,,,,,STATEMENTBLOCK ? STATBLOCK,STATEMENTBLOCK ? STATBLOCK,STATEMENTBLOCK ? STATBLOCK,STATEMENTBLOCK ? STATBLOCK,STATEMENTBLOCK ? STATBLOCK,STATEMENTBLOCK ? STATBLOCK,,STATEMENTBLOCK ? STATBLOCK,,STATEMENTBLOCK ? STATBLOCK,,,,,,,,,,,,,,,,STATEMENTBLOCK ? STATBLOCK,,,,,,,,,,,,,,,
STATEMENT,,,,,,,,,,STATEMENT ? return EXPRPAR semi,STATEMENT ? write EXPRPAR semi,STATEMENT ? read lpar VARIABLE rpar semi,STATEMENT ? while RELEXPRPAR STATEMENTBLOCK semi,,,STATEMENT ? if RELEXPRPAR then STATEMENTBLOCK else STATEMENTBLOCK semi,,,,,,,,,,,,,,,,,,STATEMENT ? ID STATEMENTIDNEST semi,,,,,,,,,,,,,,,
RELEXPRPAR,,,,,RELEXPRPAR ? lpar RELEXPR rpar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPRPAR,,,,,EXPRPAR ? lpar EXPR rpar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENTIDNEST,,,,,STATEMENTIDNEST ? APARAMSLIST STATEMENTIDNEST2,STATEMENTIDNEST ? DOTIDSTATEMENTIDNEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STATEMENTIDNEST ? INDICE REPTIDNEST1 STATEMENTIDNEST3,,,,,,STATEMENTIDNEST ? ASSIGNOP EXPR,,,
STATEMENTIDNEST2,,,,,,STATEMENTIDNEST2 ? DOTIDSTATEMENTIDNEST,,,STATEMENTIDNEST2 ? &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENTIDNEST3,,,,,,STATEMENTIDNEST3 ? DOTIDSTATEMENTIDNEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STATEMENTIDNEST3 ? ASSIGNOP EXPR,,,
DOTIDSTATEMENTIDNEST,,,,,,DOTIDSTATEMENTIDNEST ? dot ID STATEMENTIDNEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERM,,,,,TERM ? FACTOR RIGHTRECTERM,,,,,,,,,,,,,,TERM ? FACTOR RIGHTRECTERM,TERM ? FACTOR RIGHTRECTERM,,,,,,,,,,,,,,TERM ? FACTOR RIGHTRECTERM,,,,,,,,,TERM ? FACTOR RIGHTRECTERM,TERM ? FACTOR RIGHTRECTERM,,,TERM ? FACTOR RIGHTRECTERM,,
TYPE,,,,,,,TYPE ? float,TYPE ? integer,,,,,,,,,,,,,,,,,,,,,,,,,,TYPE ? ID,,,,,,,,,,,,,,,
VARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARIABLE ? ID VARIABLE2,,,,,,,,,,,,,,,
VARIABLE2,,,,VARIABLE2 ? REPTIDNEST1 REPTVARIABLE,VARIABLE2 ? APARAMSLISTIDNEST,VARIABLE2 ? REPTIDNEST1 REPTVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARIABLE2 ? REPTIDNEST1 REPTVARIABLE,,,,,,,,,
VARIDNEST,,,,,,VARIDNEST ? dot ID VARIDNEST2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APARAMSLIST,,,,,APARAMSLIST ? lpar APARAMS rpar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APARAMSLISTIDNEST,,,,,APARAMSLISTIDNEST ? APARAMSLIST VARIDNEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIDNEST2,,,,VARIDNEST2 ? REPTIDNEST1,VARIDNEST2 ? APARAMSLISTIDNEST,VARIDNEST2 ? REPTIDNEST1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARIDNEST2 ? REPTIDNEST1,,,,,,,,,
VISIBILITY,,VISIBILITY ? private,VISIBILITY ? public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
